,park_name,park_type,capacity,que_status,cur_parking,cur_parking_time,available_parking,count,date,available_parking_less_than_zero
294882,도봉산역 공영주차장(시),NW,358,20분,343,2024-10-02 16:21:31,15,0,2024-10-02 16:20:00,13
294883,도봉산 공영주차장(시),NW,142,20분,107,2024-10-02 16:21:32,35,1,2024-10-02 16:20:00,72
294902,2001아울렛 중계점,BS,263,20분,192,2024-10-02 16:20:43,71,20,2024-10-02 16:20:00,29
294926,석계역 공영주차장(시),NW,70,20분,52,2024-10-02 16:22:11,18,44,2024-10-02 16:20:00,41
294931,송중동 공영주차장(구),NW,53,20분,48,2024-10-02 16:22:01,5,49,2024-10-02 16:20:00,71
294933,신세계 이마트미아점,BS,83,20분,113,2024-10-02 16:22:42,-30,51,2024-10-02 16:20:00,109
294948,녹색병원 주차장,BS,80,20분,82,2024-10-02 16:21:01,-2,66,2024-10-02 16:20:00,105
294959,장안1동 공영주차장(시),NW,71,20분,51,2024-10-02 16:22:52,20,77,2024-10-02 16:20:00,12
294992,종묘주차장 공영주차장(시),NW,1317,20분,1205,2024-10-02 16:23:31,112,108,2024-10-02 16:20:00,4
295024,신당역 공영주차장(구),NW,26,20분,26,2024-10-02 16:24:29,0,141,2024-10-02 16:20:00,27
295030,동대문 공영주차장(시),NW,1092,20분,246,2024-10-02 16:24:11,846,148,2024-10-02 16:20:00,3
295046,을지트윈타워 주차장,BS,542,20분,425,2024-10-02 16:25:03,117,162,2024-10-02 16:20:00,7
295053,파인에비뉴,BS,602,20분,605,2024-10-02 16:24:19,-3,171,2024-10-02 16:20:00,6
295074,왕십리 민자역사 비트플렉스몰 ,BS,1000,20분,635,2024-10-02 16:25:43,365,192,2024-10-02 16:20:00,28
295084,민속의 집 주차장(구),NW,26,20분,21,2024-10-02 16:25:55,5,202,2024-10-02 16:20:00,18
295099,동산 공영주차장(구),NW,83,20분,70,2024-10-02 16:17:19,13,217,2024-10-02 16:20:00,8
295113,이마트 명일점,BS,202,20분,262,2024-10-02 16:26:26,-60,230,2024-10-02 16:20:00,88
295116,어린이대공원(후문),BP,250,20분,154,2024-10-02 16:26:29,96,234,2024-10-02 16:20:00,34
295120,살곶이(평면) 공영주차장(구),NW,102,20분,90,2024-10-02 16:26:13,12,238,2024-10-02 16:20:00,89
295136,남산동 공영주차장(구),NW,48,20분,48,2024-10-02 16:26:05,0,254,2024-10-02 16:20:00,74
295148,서울글로벌센터 공영주차장(시),NW,44,20분,36,2024-10-02 16:26:51,8,265,2024-10-02 16:20:00,1
295152,신세계백화점 본점(신관),BS,498,20분,455,2024-10-02 16:27:17,43,269,2024-10-02 16:20:00,83
295155,지타워 주차장,BS,95,20분,91,2024-10-02 16:20:02,4,272,2024-10-02 16:20:00,61
295192,현대백화점 신촌점,BS,454,20분,267,2024-10-02 16:28:06,187,310,2024-10-02 16:20:00,94
295205,마포구청(마포구종합행정타운),BP,356,20분,393,2024-10-02 16:28:24,-37,323,2024-10-02 16:20:00,80
295213,망원2주차장[서울함공원옆],BP,229,20분,162,2024-10-02 16:27:59,67,331,2024-10-02 16:20:00,82
295216,"난지공원1, 2, 3주차장",BP,544,20분,5,2024-10-02 16:28:32,539,334,2024-10-02 16:20:00,41
295228,NC 강서점,BS,934,20분,558,2024-10-02 16:28:57,376,346,2024-10-02 16:20:00,14
295230,가양라이품 공영주차장(시),NW,38,20분,34,2024-10-02 16:28:51,4,348,2024-10-02 16:20:00,8
295242,김포국제공항 국내선 제2주차장,BP,1391,20분,1287,2024-10-02 16:29:08,104,360,2024-10-02 16:20:00,48
295245,김포국제공항 국내선 제1주차장,BP,2279,20분,2142,2024-10-02 16:29:00,137,363,2024-10-02 16:20:00,6
295258,망원1주차장[당산철교북단],BP,128,20분,95,2024-10-02 16:29:08,33,376,2024-10-02 16:20:00,193
