park_name,capacity,cur_parking,cur_parking_time,available_parking,count,date,hour,day_of_week,is_weekend,park_type_BP,park_type_BS,park_type_NP,park_type_NS,park_type_NW,que_status_20분,que_status_2시간,que_status_2일,available_parking_less_than_zero
거성학마을아파트,314,296,2024-10-02 16:20:40,18,5,2024-10-02 07:21:49,16,2,False,False,True,False,False,False,True,False,False,0
홈플러스 방학점,611,175,2024-10-02 16:21:48,436,7,2024-10-02 07:21:52,16,2,False,False,True,False,False,False,True,False,False,0
롯데백화점 노원점(별관) 주차장,492,198,2024-10-02 16:20:00,294,9,2024-10-02 07:21:55,16,2,False,False,True,False,False,False,True,False,False,0
롯데백화점 노원점(본관) 주차장,488,305,2024-10-02 16:20:00,183,10,2024-10-02 07:21:57,16,2,False,False,True,False,False,False,True,False,False,0
KT노원타워,153,141,2024-10-02 16:21:57,12,14,2024-10-02 07:22:00,16,2,False,False,True,False,False,False,True,False,False,0
씨드큐브창동,961,299,2024-10-02 16:21:42,662,15,2024-10-02 07:22:00,16,2,False,False,True,False,False,False,True,False,False,0
상계백병원 주차장,349,219,2024-10-02 16:21:54,130,17,2024-10-02 07:22:04,16,2,False,False,True,False,False,False,True,False,False,0
2001아울렛 중계점,263,192,2024-10-02 16:20:43,71,20,2024-10-02 07:22:08,16,2,False,False,True,False,False,False,True,False,False,15
홈플러스 중계점,710,76,2024-10-02 16:22:04,634,22,2024-10-02 07:22:10,16,2,False,False,True,False,False,False,True,False,False,0
에피소드수유838,558,278,2024-10-02 16:21:57,280,25,2024-10-02 07:22:15,16,2,False,False,True,False,False,False,True,False,False,13
노원을지대학교병원 주차장,337,226,2024-10-02 16:22:12,111,26,2024-10-02 07:22:16,16,2,False,False,True,False,False,False,True,False,False,0
희성프라자,113,23,2024-10-02 16:22:16,90,29,2024-10-02 07:22:19,16,2,False,False,True,False,False,False,True,False,False,0
이마트월계점,1006,537,2024-10-02 16:21:34,469,34,2024-10-02 07:22:26,16,2,False,False,True,False,False,False,True,False,False,0
롯데마트 삼양점,233,216,2024-10-02 16:21:53,17,37,2024-10-02 07:22:30,16,2,False,False,True,False,False,False,True,False,False,42
홈플러스 신내점,393,373,2024-10-02 16:22:34,20,43,2024-10-02 07:22:36,16,2,False,False,True,False,False,False,True,False,False,1
롯데백화점[미아점] 지하주차장,485,224,2024-10-02 16:20:00,261,50,2024-10-02 07:22:44,16,2,False,False,True,False,False,False,True,False,False,0
신세계 이마트미아점,83,113,2024-10-02 16:22:42,-30,51,2024-10-02 07:22:45,16,2,False,False,True,False,False,False,True,False,False,28
현대백화점 미아점 주차장,600,155,2024-10-02 16:22:47,445,55,2024-10-02 07:22:51,16,2,False,False,True,False,False,False,True,False,False,0
JR메디컬센터타워 주차장,32,31,2024-10-02 16:21:49,1,56,2024-10-02 07:22:52,16,2,False,False,True,False,False,False,True,False,False,76
홈플러스 월곡점,658,421,2024-10-02 16:22:49,237,58,2024-10-02 07:22:53,16,2,False,False,True,False,False,False,True,False,False,0
러스크서울병원[망우동 4호점],89,24,2024-10-02 16:22:48,65,59,2024-10-02 07:22:55,16,2,False,False,True,False,False,False,True,False,False,0
이마트 상봉점,579,2,2024-10-02 16:22:51,577,61,2024-10-02 07:22:56,16,2,False,False,True,False,False,False,True,False,False,0
JS빌딩 주차장,24,24,2024-10-02 16:21:50,0,64,2024-10-02 07:22:59,16,2,False,False,True,False,False,False,True,False,False,90
녹색병원 주차장,80,82,2024-10-02 16:21:01,-2,66,2024-10-02 07:23:01,16,2,False,False,True,False,False,False,True,False,False,23
제이앤지산 주차장,114,97,2024-10-02 16:21:51,17,67,2024-10-02 07:23:03,16,2,False,False,True,False,False,False,True,False,False,42
롯데백화점 청량리점 주차장,1531,503,2024-10-02 16:20:00,1028,68,2024-10-02 07:23:05,16,2,False,False,True,False,False,False,True,False,False,0
홈플러스 동대문점,669,353,2024-10-02 16:23:04,316,72,2024-10-02 07:23:10,16,2,False,False,True,False,False,False,True,False,False,0
동의보감타워,153,153,2024-10-02 16:22:01,0,74,2024-10-02 07:23:14,16,2,False,False,True,False,False,False,True,False,False,46
하나손해보험빌딩 주차장,82,56,2024-10-02 16:23:13,26,106,2024-10-02 07:23:52,16,2,False,False,True,False,False,False,True,False,False,0
종로플레이스 주차장,202,154,2024-10-02 16:23:50,48,107,2024-10-02 07:23:53,16,2,False,False,True,False,False,False,True,False,False,0
일화고덕비즈밸리,105,58,2024-10-02 16:21:03,47,114,2024-10-02 07:24:02,16,2,False,False,True,False,False,False,True,False,False,0
알에프텍사옥,104,48,2024-10-02 16:23:19,56,114,2024-10-02 07:24:02,16,2,False,False,True,False,False,False,True,False,False,77
실로암사우나 중곡점 주차장,65,60,2024-10-02 16:24:00,5,116,2024-10-02 07:24:05,16,2,False,False,True,False,False,False,True,False,False,12
평화빌딩 주차장,67,67,2024-10-02 16:23:05,0,119,2024-10-02 07:24:09,16,2,False,False,True,False,False,False,True,False,False,69
경찰공제회 신당동 무궁화회관,15,9,2024-10-02 16:24:02,6,146,2024-10-02 07:24:46,16,2,False,False,True,False,False,False,True,False,False,60
동대문두산타워 주차장,855,223,2024-10-02 16:23:48,632,149,2024-10-02 07:24:49,16,2,False,False,True,False,False,False,True,False,False,0
현대백화점 현대시티아울렛 동대문점,618,369,2024-10-02 16:24:42,249,150,2024-10-02 07:24:51,16,2,False,False,True,False,False,False,True,False,False,0
삼풍넥서스빌딩,62,61,2024-10-02 16:24:28,1,155,2024-10-02 07:24:57,16,2,False,False,True,False,False,False,True,False,False,79
을지트윈타워 주차장,542,425,2024-10-02 16:25:03,117,162,2024-10-02 07:25:06,16,2,False,False,True,False,False,False,True,False,False,0
시그니쳐타워 주차장,436,350,2024-10-02 16:20:02,86,168,2024-10-02 07:25:16,16,2,False,False,True,False,False,False,True,False,False,0
파인에비뉴,602,605,2024-10-02 16:24:19,-3,171,2024-10-02 07:25:19,16,2,False,False,True,False,False,False,True,False,False,1
크리스탈스퀘어 주차장,69,54,2024-10-02 16:24:00,15,170,2024-10-02 07:25:19,16,2,False,False,True,False,False,False,True,False,False,0
보건복지행정타운,391,218,2024-10-02 16:24:09,173,172,2024-10-02 07:25:20,16,2,False,False,True,False,False,False,True,False,False,0
두봉상가 주차장,27,18,2024-10-02 16:24:29,9,173,2024-10-02 07:25:21,16,2,False,False,True,False,False,False,True,False,False,74
경진주차장,17,17,2024-10-02 16:24:33,0,188,2024-10-02 07:25:40,16,2,False,False,True,False,False,False,True,False,False,87
왕십리 민자역사 비트플렉스몰 ,1000,635,2024-10-02 16:25:43,365,192,2024-10-02 07:25:45,16,2,False,False,True,False,False,False,True,False,False,0
서울숲더샵아파트 주차장,347,133,2024-10-02 16:25:43,214,210,2024-10-02 07:26:07,16,2,False,False,True,False,False,False,True,False,False,33
약수빌딩 주차장,25,18,2024-10-02 16:25:43,7,219,2024-10-02 07:26:18,16,2,False,False,True,False,False,False,True,False,False,80
앰배서더서울 풀만 호텔,341,161,2024-10-02 16:24:01,180,222,2024-10-02 07:26:21,16,2,False,False,True,False,False,False,True,False,False,0
강동경희대학교병원,514,488,2024-10-02 16:26:22,26,227,2024-10-02 07:26:28,16,2,False,False,True,False,False,False,True,False,False,0
명성프라자 주차장,73,73,2024-10-02 16:25:46,0,229,2024-10-02 07:26:30,16,2,False,False,True,False,False,False,True,False,False,56
이마트 명일점,202,262,2024-10-02 16:26:26,-60,230,2024-10-02 07:26:32,16,2,False,False,True,False,False,False,True,False,False,10
금호초등학교,123,74,2024-10-02 16:25:23,49,249,2024-10-02 07:27:01,16,2,False,False,True,False,False,False,True,False,False,0
미래에셋센터원 주차장,763,564,2024-10-02 16:25:56,199,255,2024-10-02 07:27:09,16,2,False,False,True,False,False,False,True,False,False,0
남대문 메사빌딩,336,85,2024-10-02 16:27:06,251,257,2024-10-02 07:27:11,16,2,False,False,True,False,False,False,True,False,False,0
눈스퀘어 주차장,109,6,2024-10-02 16:20:02,103,261,2024-10-02 07:27:15,16,2,False,False,True,False,False,False,True,False,False,0
롯데호텔 롯데백화점,1036,818,2024-10-02 16:20:00,218,264,2024-10-02 07:27:18,16,2,False,False,True,False,False,False,True,False,False,0
센트로폴리스,560,366,2024-10-02 16:27:14,194,266,2024-10-02 07:27:19,16,2,False,False,True,False,False,False,True,False,False,0
스테이트타워남산,300,212,2024-10-02 16:26:18,88,268,2024-10-02 07:27:23,16,2,False,False,True,False,False,False,True,False,False,0
신세계백화점 본점(신관),498,455,2024-10-02 16:27:17,43,269,2024-10-02 07:27:24,16,2,False,False,True,False,False,False,True,False,False,22
종로타워 주차장,273,195,2024-10-02 16:27:00,78,271,2024-10-02 07:27:25,16,2,False,False,True,False,False,False,True,False,False,0
지타워 주차장,95,91,2024-10-02 16:20:02,4,272,2024-10-02 07:27:27,16,2,False,False,True,False,False,False,True,False,False,2
T타워,291,136,2024-10-02 16:24:52,155,275,2024-10-02 07:27:30,16,2,False,False,True,False,False,False,True,False,False,0
서소문 시티스퀘어,148,139,2024-10-02 16:27:00,9,284,2024-10-02 07:27:41,16,2,False,False,True,False,False,False,True,False,False,15
한화생명 소공동사옥,459,355,2024-10-02 16:27:30,104,289,2024-10-02 07:27:46,16,2,False,False,True,False,False,False,True,False,False,0
한화생명 태평로사옥,484,123,2024-10-02 16:27:16,361,290,2024-10-02 07:27:48,16,2,False,False,True,False,False,False,True,False,False,0
순화타워 주차장,96,76,2024-10-02 16:20:02,20,292,2024-10-02 07:27:49,16,2,False,False,True,False,False,False,True,False,False,0
중림동 실로암빌딩	,126,103,2024-10-02 16:27:01,23,295,2024-10-02 07:27:52,16,2,False,False,True,False,False,False,True,False,False,0
하이파킹 서울역 주차장,767,0,2024-10-02 16:27:51,767,296,2024-10-02 07:27:54,16,2,False,False,True,False,False,False,True,False,False,0
동아일보사 충정로사옥,170,68,2024-10-02 16:27:53,102,299,2024-10-02 07:27:58,16,2,False,False,True,False,False,False,True,False,False,0
신촌 연세의료원,2682,1542,2024-10-02 16:27:56,1140,306,2024-10-02 07:28:09,16,2,False,False,True,False,False,False,True,False,False,0
에피소드 신촌369,193,74,2024-10-02 16:27:08,119,307,2024-10-02 07:28:11,16,2,False,False,True,False,False,False,True,False,False,46
테라운드빌딩 주차장,39,27,2024-10-02 16:25:45,12,309,2024-10-02 07:28:13,16,2,False,False,True,False,False,False,True,False,False,0
현대백화점 신촌점,454,267,2024-10-02 16:28:06,187,310,2024-10-02 07:28:14,16,2,False,False,True,False,False,False,True,False,False,0
쓰리알유시티 주차장,23,23,2024-10-02 16:27:02,0,314,2024-10-02 07:28:19,16,2,False,False,True,False,False,False,True,False,False,98
애경타워 주차장,149,87,2024-10-02 16:27:33,62,315,2024-10-02 07:28:20,16,2,False,False,True,False,False,False,True,False,False,0
칼리오페 주차장,32,32,2024-10-02 16:28:20,0,316,2024-10-02 07:28:21,16,2,False,False,True,False,False,False,True,False,False,61
라이즈 오토그래프컬렉션 호텔,105,51,2024-10-02 16:25:17,54,317,2024-10-02 07:28:22,16,2,False,False,True,False,False,False,True,False,False,0
아만티호텔 서울,142,44,2024-10-02 16:28:18,98,318,2024-10-02 07:28:23,16,2,False,False,True,False,False,False,True,False,False,0
지남빌딩,33,28,2024-10-02 16:28:20,5,319,2024-10-02 07:28:24,16,2,False,False,True,False,False,False,True,False,False,0
