주차장 이름,주소,주차 타입,주차 가능 차량 수,요금,요금 시간 기준,추가 요금,추가 요금 시간 기준,일일 최대 요금,현재 주차 차량 수,현재 주차 갱신 시간,평일 운영 시간,주말 운영 시간,공휴일 운영 시간,전화번호,연계 상태,위도,경도
도봉산역 공영주차장(시),도봉구 도봉동 288-19,NW,358,170,5,170,5,12200,347,2024-10-02 15:56:51,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02)2290-6047 ,20분,37.68972069,127.04483862
도봉산길-1,도봉산길 12 ~ 도봉산길 42,T,42,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6875029,127.0444326
도봉산 공영주차장(시),도봉구 도봉동 282-26,NW,142,170,5,170,5,12200,118,2024-10-02 15:56:51,0800 ~ 2200,0800 ~ 2200,0800 ~ 2200,010-4927-3981,20분,37.6876442,127.04066026
금성익스프레스(민영),노원구 상계동 1214-3,NP,57,1000,30,1000,10,,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-9332424,미연계,37.683487,127.05891
도봉동 실내스포츠센터,,DI,2,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.68172877,127.0505511
도봉2동  6공영주차장(구),도봉구 도봉동 59-1,NW,13,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-2091-4215,미연계,37.68304002,127.04623968
오즈호프주차장(민영),도봉구 도봉동 574-35,NP,7,3000,60,,,,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,01090805468,미연계,37.684658,127.043338
마들로-3,마들로 738 ~ 마들로 756,T,28,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.6770967,127.0489796
S. 서울 사다리조합(민영),도봉구 도봉동 592-0,NP,25,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-949-2000,미연계,37.67896218,127.04052002
동막골 노외공영주차장(구),노원구 상계동 31-0,NW,35,150,5,150,5,8100,0,,0900 ~ 1900,0000 ~ 0000,0000 ~ 0000,02-939-7708,미연계,37.675272,127.086427
수락산디자인서울거리(구),노원구 상계동 996-2,NS,71,150,5,0,0,19800,0,,0900 ~ 1900,0900 ~ 1800,0900 ~ 1800,,미연계,37.67451211,127.0608372
상계동강강술래,노원구 상계동 1025-4,BS,42,0,0,0,0,0,0,,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,미연계,37.673887,127.056104
양지(민영),노원구 상계동 1004-0,NP,14,1000,30,0,0,0,0,,0900 ~ 2359,0900 ~ 2359,0900 ~ 2359,,미연계,37.67477151,127.05988739
진주(민영),노원구 상계동 1094-7,NP,17,2000,30,500,10,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,,미연계,37.67401681,127.05193104
도봉2동 법조타운 공영주차장(구),도봉구 도봉동 624-105,NW,155,100,5,100,5,0,0,,0900 ~ 1800,0000 ~ 1800,0000 ~ 1800,02-901-5100,미연계,37.673633,127.046486
현대성우아파트,도봉구 도봉동 642-0 ,BS,228,1000,30,500,15,10000,228,2024-10-02 15:57:36,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-3491-8954,20분,37.676229,127.047725
무수골 주말농장(민영),도봉구 도봉동 463-1,NP,49,0,0,0,0,0,0,,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,010-4722-7036,미연계,37.67650956,127.03279833
당고개위 공영주차장(시),노원구 상계동 111-568,NS,23,260,5,260,5,0,5,2024-10-02 15:57:38,0900 ~ 2200,0900 ~ 2200,0900 ~ 2200,010-4927-3981,20분,37.67070279,127.08041836
도봉구청 부설주차장,도봉구 방학동 720-0 ,BP,310,0,60,250,5,0,295,2024-10-02 15:57:58,0900 ~ 1800,0900 ~ 1800,0000 ~ 2400,02-2091-2143,20분,37.6687158,127.04711546
방학동 월드상가 앞 주차장(구),도봉구 방학동 717-0,NS,8,250,5,0,0,0,0,,0900 ~ 1800,0900 ~ 1800,0900 ~ 1800,,미연계,37.66825212,127.04647283
인봉주차장(민영),도봉구 도봉동 611-26,NP,27,1000,30,,,0,0,,0900 ~ 2400,0900 ~ 2400,0900 ~ 2400,02-954-4071,미연계,37.670128,127.041688
