주차장 이름,주소,주차 타입,주차 가능 차량 수,요금,요금 시간 기준,추가 요금,추가 요금 시간 기준,일일 최대 요금,현재 주차 차량 수,현재 주차 갱신 시간,평일 운영 시간,주말 운영 시간,공휴일 운영 시간,전화번호,연계 상태,위도,경도
도봉산역 공영주차장(시),도봉구 도봉동 288-19,NW,358,170,5,170,5,12200,352,2024-10-02 14:21:31,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02)2290-6047 ,20분,37.68972069,127.04483862
도봉산 공영주차장(시),도봉구 도봉동 282-26,NW,142,170,5,170,5,12200,140,2024-10-02 14:21:31,0800 ~ 2200,0800 ~ 2200,0800 ~ 2200,010-4927-3981,20분,37.6876442,127.04066026
현대성우아파트,도봉구 도봉동 642-0 ,BS,228,1000,30,500,15,10000,228,2024-10-02 14:22:12,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-3491-8954,20분,37.676229,127.047725
당고개위 공영주차장(시),노원구 상계동 111-568,NS,23,260,5,260,5,0,5,2024-10-02 14:22:13,0900 ~ 2200,0900 ~ 2200,0900 ~ 2200,010-4927-3981,20분,37.67070279,127.08041836
도봉구청 부설주차장,도봉구 방학동 720-0 ,BP,310,0,60,250,5,0,295,2024-10-02 14:22:38,0900 ~ 1800,0900 ~ 1800,0000 ~ 2400,02-2091-2143,20분,37.6687158,127.04711546
거성학마을아파트,도봉구 방학동 701-15 ,BS,314,2000,30,1000,15,0,296,2024-10-02 14:22:08,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-3493-4115,20분,37.666646,127.039654
이안테라디움방학역오피스텔,도봉구 방학동 707-0 ,BS,170,1500,30,500,10,20000,170,2024-10-02 14:22:12,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.665784,127.043741
홈플러스 방학점,도봉구 방학동 707-7 ,BS,611,1000,10,1000,10,30000,154,2024-10-02 14:22:48,1000 ~ 2400,1000 ~ 2400,1000 ~ 2400,02-912-2080,20분,37.66482,127.043719
신한은행 방학동지점,도봉구 방학동 691-7 ,BS,24,0,15,2000,20,60000,26,2024-10-02 14:22:01,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.663147,127.036928
롯데백화점 노원점(별관) 주차장,노원구 상계동 714-0 ,BS,492,1000,30,1000,10,0,217,2024-10-02 14:20:00,1030 ~ 2000,1030 ~ 2030,1030 ~ 2030,02-905-2007,20분,37.655348,127.061802
롯데백화점 노원점(본관) 주차장,노원구 상계동 713-0 ,BS,488,1000,30,1000,10,,361,2024-10-02 14:20:00,1030 ~ 2000,1030 ~ 2030,1030 ~ 2030,02-950-2007,20분,37.654954,127.06086
LG전자베스트샵 쌍문본점,도봉구 쌍문동 692-0 ,BS,29,1000,10,1000,10,50000,29,2024-10-02 14:22:06,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.654867,127.037972
우이동 공영주차장(시),강북구 우이동 105-2,NW,82,,,,,80000,31,2024-10-02 14:22:28,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3044,20분,37.65671789,127.01163698
정안빌딩,도봉구 쌍문동 508-1 ,BS,55,1000,30,1000,30,15000,55,2024-10-02 14:22:07,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.657457,127.01391
KT노원타워,노원구 상계동 723-0 ,BS,153,1000,30,1000,30,15000,138,2024-10-02 14:23:22,0800 ~ 2400,0800 ~ 2400,0800 ~ 2400,,20분,37.65445795,127.06369619
씨드큐브창동,도봉구 창동 1-28 ,BS,961,2000,30,1000,10,30000,310,2024-10-02 14:21:35,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-6077-8780,20분,37.65439,127.049764
창동역(서) 공영주차장(시),도봉구 창동 330-0,NW,106,260,5,260,5,18700,87,2024-10-02 14:22:51,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,010-4927-3981,20분,37.65237042,127.04567683
상계백병원 주차장,노원구 상계동 761-1 ,BS,349,2000,31,500,10,30000,297,2024-10-02 14:23:26,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-950-4809,20분,37.648654,127.063009
더블유 Tmap 주차장(민영),도봉구 쌍문동 96-24,NP,18,2000,30,20000,30,40000,0,2024-10-02 14:23:22,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.64775334,127.03373409
서울시립과학관 부설주차장,노원구 하계동 21-0 ,BP,114,150,5,150,5,14400,42,2024-10-02 14:23:43,0900 ~ 1800,0900 ~ 1800,0900 ~ 1800,02-534-3837,20분,37.641981,127.077432
2001아울렛 중계점,노원구 중계동 509-0 ,BS,263,0,30,1000,10,,196,2024-10-02 14:23:12,1000 ~ 2200,1000 ~ 2200,1000 ~ 2200,02-948-2001,20분,37.64129794,127.06801938
가오리 공영주차장(구),강북구 수유동 349-3,NW,120,150,5,150,5,10000,82,2024-10-02 14:22:56,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3046,20분,37.64160736,127.01498164
홈플러스 중계점,노원구 중계동 509-2,BS,710,1000,10,1000,10,30000,76,2024-10-02 14:23:54,1000 ~ 2400,1000 ~ 2400,1000 ~ 2400,02-986-2080,20분,37.639866,127.068575
수송초등학교 공영주차장(구),강북구 번동 456-0,NW,185,200,5,200,5,10000,120,2024-10-02 14:23:55,0000 ~ 0000,0000 ~ 0000,0000 ~ 0000,02-944-3036,20분,37.63709333,127.03300942
시범 공영주차장(구),강북구 수유동 190-11,NW,45,250,5,250,5,20000,35,2024-10-02 14:23:03,0800 ~ 2200,0800 ~ 2200,0900 ~ 1800,02-944-3029,20분,37.64005648,127.02595849
에피소드수유838,강북구 수유동 740-0 ,BS,558,1000,15,1000,15,20000,558,2024-10-02 14:23:26,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.636932,127.023307
구파발역 공영주차장(시),은평구 진관동 66-30,NW,399,170,5,170,5,12200,426,2024-10-02 14:23:31,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2290-6088,20분,37.63800702,126.91932176
롯데몰 은평점 주차장,은평구 진관동 63-0 ,BS,1514,0,30,1000,30,0,1016,2024-10-02 14:20:01,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2674-0000,20분,37.6374717811,126.91783905
노원을지대학교병원 주차장,노원구 하계동 280-1,BS,337,2000,31,500,10,15000,283,2024-10-02 14:24:08,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-970-8441,20분,37.63642,127.070002
인수동공영주차장(구),강북구 수유동 126-0,NW,89,200,5,200,5,10000,63,2024-10-02 14:23:48,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3045,20분,37.63608367,127.01844991
LG전자베스트샵 노원본점,노원구 공릉동 323-1 ,BS,25,1000,10,1000,10,30000,25,2024-10-02 14:23:23,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.628515,127.071146
희성프라자,노원구 월계동 321-2 ,BS,113,500,10,500,10,30000,25,2024-10-02 14:24:21,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.63091732,127.06104087
미아동공영주차장(구),강북구 미아동 222-100,NW,155,150,5,150,5,10000,4,2024-10-02 14:23:45,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3048,20분,37.6285679,127.02235964
수유프라자,강북구 수유동 63-0,BS,51,1000,30,1000,30,30000,51,2024-10-02 14:23:16,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.631703,127.02348
우리은행 미아역지점,강북구 미아동 207-1 ,BS,18,1000,20,1000,20,30000,18,2024-10-02 14:23:19,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.62777652,127.02513238
수유일공원공영주차장(구),강북구 수유동 605-407,NW,91,200,5,200,5,10000,43,2024-10-02 14:24:16,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3042,20분,37.63061186,127.01743071
이마트월계점,노원구 월계동 333-1 ,BS,1006,500,10,500,10,30000,452,2024-10-02 14:24:17,1000 ~ 2300,1000 ~ 2300,1000 ~ 2300,,20분,37.62745359,127.06201533
번동 햇살 주차장(구),강북구 번동 148-380,NW,187,150,5,150,5,10000,101,2024-10-02 14:24:16,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3044,20분,37.62509512,127.03343189
냉천길 공영주차장(구),강북구 미아동 756-1,NW,103,200,5,200,5,10000,54,2024-10-02 14:24:00,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3040,20분,37.62400561,127.01953853
롯데마트 삼양점,강북구 미아동 1359-0 ,BS,233,1500,30,1500,30,30000,197,2024-10-02 14:23:21,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.62561503,127.01770989
구세군길 공영주차장(무인)(구),강북구 미아동 791-1360,NW,87,150,5,150,5,10000,46,2024-10-02 14:24:37,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3036,20분,37.62617605,127.01344244
꿈의숲요양병원,강북구 번동 105-1,BS,73,0,20,500,10,20000,73,2024-10-02 14:24:41,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.620514,127.044938
오패산공영주차장(구),강북구 미아동 133-100,NW,76,150,5,150,5,10000,31,2024-10-02 14:24:21,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.6221541,127.03114725
대지시장길 공영주차장(구),강북구 미아동 703-8,NW,47,200,5,200,5,,47,2024-10-02 14:24:24,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3035,20분,37.62016376,127.02031635
삼양마을공원지하공영주차장(구),강북구 미아동 748-2,NW,95,200,5,200,5,10000,52,2024-10-02 14:24:39,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3047,20분,37.62274538,127.01842794
홈플러스 신내점,중랑구 신내동 645-0,BS,393,1000,10,1000,10,30000,373,2024-10-02 14:24:54,1000 ~ 2400,1000 ~ 2400,1000 ~ 2400,02-2024-8000,20분,37.615743,127.093825
석계역 공영주차장(시),노원구 월계동 50-9,NW,70,260,5,260,5,18700,61,2024-10-02 14:24:51,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,010-4927-3981,20분,37.615292,127.062997
LG전자베스트샵 강북본점,강북구 미아동 330-15,BS,34,0,10,2000,10,30000,34,2024-10-02 14:24:49,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,,20분,37.618662,127.028891
도봉로 15길 공영주차장(시),강북구 미아동 458-7,NS,16,200,5,200,5,0,14,2024-10-02 14:24:53,0900 ~ 1800,0000 ~ 0000,0000 ~ 0000,010-4927-3981,20분,37.61695866,127.0279473
송천동공영주차장(구),강북구 미아동 439-138,NW,59,150,5,150,5,10000,26,2024-10-02 14:24:52,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3049,20분,37.61458475,127.0251644
서울의료원 주차장,중랑구 신내동 316-0 ,BP,806,0,20,300,10,,791,2024-10-02 14:24:02,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-2276-8990,20분,37.612879,127.099193
송중동 공영주차장(구),강북구 미아동 48-1,NW,53,200,5,200,5,10000,50,2024-10-02 14:25:01,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-944-3038,20분,37.61165492,127.03363616
롯데백화점[미아점] 지하주차장,강북구 미아동 70-6 ,BS,485,0,30,1000,10,,234,2024-10-02 14:20:00,0800 ~ 2200,0800 ~ 2200,0800 ~ 2200,02-944-1862,20분,37.61417653,127.03055539
신세계 이마트미아점,성북구 길음동 25-2 ,BS,83,1000,10,1000,10,50000,117,2024-10-02 14:25:12,0700 ~ 2300,0700 ~ 2300,0700 ~ 2300,,20분,37.61086046,127.02974197
한화생명 불광동사옥,은평구 불광동 272-51 ,BS,217,1500,30,500,10,0,126,2024-10-02 14:25:06,0000 ~ 2400,0000 ~ 2400,0000 ~ 2400,02-359-1134,20분,37.611843,126.92932
