주차장 이름,주변 주차장
도봉산역 공영주차장(시),도봉산 공영주차장(시): 434
도봉산 공영주차장(시),도봉산역 공영주차장(시): 434
도봉구청 부설주차장,"이안테라디움방학역오피스텔: 441, 홈플러스 방학점: 526"
거성학마을아파트,"이안테라디움방학역오피스텔: 372, 홈플러스 방학점: 411, 신한은행 방학동지점: 457"
이안테라디움방학역오피스텔,"홈플러스 방학점: 107, 거성학마을아파트: 372, 도봉구청 부설주차장: 441"
홈플러스 방학점,"이안테라디움방학역오피스텔: 107, 거성학마을아파트: 411, 도봉구청 부설주차장: 526"
신한은행 방학동지점,거성학마을아파트: 457
롯데백화점 노원점(별관) 주차장,"롯데백화점 노원점(본관) 주차장: 93, KT노원타워: 193"
롯데백화점 노원점(본관) 주차장,"롯데백화점 노원점(별관) 주차장: 93, KT노원타워: 255"
우이동 공영주차장(시),정안빌딩: 216
정안빌딩,우이동 공영주차장(시): 216
KT노원타워,"롯데백화점 노원점(별관) 주차장: 193, 롯데백화점 노원점(본관) 주차장: 255"
씨드큐브창동,창동역(서) 공영주차장(시): 424
창동역(서) 공영주차장(시),씨드큐브창동: 424
2001아울렛 중계점,"홈플러스 중계점: 166, 노원을지대학교병원 주차장: 569"
가오리 공영주차장(구),인수동공영주차장(구): 685
홈플러스 중계점,"2001아울렛 중계점: 166, 노원을지대학교병원 주차장: 403"
시범 공영주차장(구),에피소드수유838: 418
에피소드수유838,"시범 공영주차장(구): 418, 인수동공영주차장(구): 437, 수유프라자: 581"
노원을지대학교병원 주차장,"홈플러스 중계점: 403, 2001아울렛 중계점: 569"
인수동공영주차장(구),"에피소드수유838: 437, 수유일공원공영주차장(구): 615, 수유프라자: 658, 가오리 공영주차장(구): 685"
희성프라자,이마트월계점: 394
미아동공영주차장(구),"우리은행 미아역지점: 259, 수유프라자: 362, 수유일공원공영주차장(구): 489, 롯데마트 삼양점: 524, 냉천길 공영주차장(구): 564"
수유프라자,"미아동공영주차장(구): 362, 우리은행 미아역지점: 460, 에피소드수유838: 581, 인수동공영주차장(구): 658"
우리은행 미아역지점,"미아동공영주차장(구): 259, 수유프라자: 460"
수유일공원공영주차장(구),"미아동공영주차장(구): 489, 롯데마트 삼양점: 556, 구세군길 공영주차장(무인)(구): 605, 인수동공영주차장(구): 615"
이마트월계점,희성프라자: 394
번동 햇살 주차장(구),오패산공영주차장(구): 383
냉천길 공영주차장(구),"삼양마을공원지하공영주차장(구): 170, 롯데마트 삼양점: 240, 대지시장길 공영주차장(구): 432, 미아동공영주차장(구): 564"
롯데마트 삼양점,"냉천길 공영주차장(구): 240, 삼양마을공원지하공영주차장(구): 325, 구세군길 공영주차장(무인)(구): 380, 미아동공영주차장(구): 524, 수유일공원공영주차장(구): 556, 대지시장길 공영주차장(구): 648"
구세군길 공영주차장(무인)(구),"롯데마트 삼양점: 380, 삼양마을공원지하공영주차장(구): 581, 수유일공원공영주차장(구): 605"
오패산공영주차장(구),"번동 햇살 주차장(구): 383, LG전자베스트샵 강북본점: 436, 도봉로 15길 공영주차장(시): 642"
대지시장길 공영주차장(구),"삼양마을공원지하공영주차장(구): 331, 냉천길 공영주차장(구): 432, 롯데마트 삼양점: 648"
삼양마을공원지하공영주차장(구),"냉천길 공영주차장(구): 170, 롯데마트 삼양점: 325, 대지시장길 공영주차장(구): 331, 구세군길 공영주차장(무인)(구): 581"
홈플러스 신내점,서울의료원 주차장: 570
LG전자베스트샵 강북본점,"도봉로 15길 공영주차장(시): 206, 오패산공영주차장(구): 436, 롯데백화점[미아점] 지하주차장: 519, 송천동공영주차장(구): 559"
도봉로 15길 공영주차장(시),"LG전자베스트샵 강북본점: 206, 송천동공영주차장(구): 360, 롯데백화점[미아점] 지하주차장: 385, 오패산공영주차장(구): 642"
송천동공영주차장(구),"도봉로 15길 공영주차장(시): 360, 롯데백화점[미아점] 지하주차장: 477, LG전자베스트샵 강북본점: 559, 신세계 이마트미아점: 577, 베누스타 주차장: 697"
서울의료원 주차장,홈플러스 신내점: 570
송중동 공영주차장(구),"신세계 이마트미아점: 354, 롯데백화점[미아점] 지하주차장: 390, 베누스타 주차장: 446, 현대백화점 미아점 주차장: 561, 성북힐스테이트 주차장: 636, 성북힐스테이트아파트: 698, 도봉로 15길 공영주차장(시): 749"
롯데백화점[미아점] 지하주차장,"신세계 이마트미아점: 375, 도봉로 15길 공영주차장(시): 385, 송중동 공영주차장(구): 390, 송천동공영주차장(구): 477, LG전자베스트샵 강북본점: 519, 베누스타 주차장: 546"
신세계 이마트미아점,"베누스타 주차장: 170, 현대백화점 미아점 주차장: 287, 송중동 공영주차장(구): 354, 롯데백화점[미아점] 지하주차장: 375, 성북힐스테이트아파트: 483, 성북힐스테이트 주차장: 484, 송천동공영주차장(구): 577"
베누스타 주차장,"현대백화점 미아점 주차장: 123, 신세계 이마트미아점: 170, 성북힐스테이트아파트: 312, 성북힐스테이트 주차장: 321, 송중동 공영주차장(구): 446, 롯데백화점[미아점] 지하주차장: 546, 송천동공영주차장(구): 697"
성북힐스테이트 주차장,"성북힐스테이트아파트: 120, 현대백화점 미아점 주차장: 250, 베누스타 주차장: 321, 신세계 이마트미아점: 484, 송중동 공영주차장(구): 636"
성북힐스테이트아파트,"성북힐스테이트 주차장: 120, 현대백화점 미아점 주차장: 205, 베누스타 주차장: 312, 신세계 이마트미아점: 483, 송중동 공영주차장(구): 698"
현대백화점 미아점 주차장,"베누스타 주차장: 123, 성북힐스테이트아파트: 205, 성북힐스테이트 주차장: 250, 신세계 이마트미아점: 287, 송중동 공영주차장(구): 561"
대명프라자,"다이소 망우2호점: 322, 이마트 상봉점: 664"
다이소 망우2호점,"대명프라자: 322, 이마트 상봉점: 522"
이마트 상봉점,"다이소 망우2호점: 522, 대명프라자: 664"
휘경메디컬프라자,JS빌딩 주차장: 214
JS빌딩 주차장,휘경메디컬프라자: 214
제이앤지산 주차장,장안2동 공영주차장(시): 360
두산베어스타워,"동대문베네스트어반라이프: 130, 동의보감타워: 474"
장안2동 공영주차장(시),제이앤지산 주차장: 360
