주차장 이름,위도,경도,주변 주차장
도봉산역 공영주차장(시),37.68972069,127.04483862,
도봉산 공영주차장(시),37.6876442,127.04066026,
현대성우아파트,37.676229,127.047725,
당고개위 공영주차장(시),37.67070279,127.08041836,
도봉구청 부설주차장,37.6687158,127.04711546,
거성학마을아파트,37.666646,127.039654,
이안테라디움방학역오피스텔,37.665784,127.043741,
홈플러스 방학점,37.66482,127.043719,
신한은행 방학동지점,37.663147,127.036928,
롯데백화점 노원점(별관) 주차장,37.655348,127.061802,
롯데백화점 노원점(본관) 주차장,37.654954,127.06086,
LG전자베스트샵 쌍문본점,37.654867,127.037972,
우이동 공영주차장(시),37.65671789,127.01163698,
정안빌딩,37.657457,127.01391,
KT노원타워,37.65445795,127.06369619,
씨드큐브창동,37.65439,127.049764,
창동역(서) 공영주차장(시),37.65237042,127.04567683,
상계백병원 주차장,37.648654,127.063009,
더블유 Tmap 주차장(민영),37.64775334,127.03373409,
서울시립과학관 부설주차장,37.641981,127.077432,
2001아울렛 중계점,37.64129794,127.06801938,
가오리 공영주차장(구),37.64160736,127.01498164,
홈플러스 중계점,37.639866,127.068575,
수송초등학교 공영주차장(구),37.63709333,127.03300942,
시범 공영주차장(구),37.64005648,127.02595849,
에피소드수유838,37.636932,127.023307,
노원을지대학교병원 주차장,37.63642,127.070002,
인수동공영주차장(구),37.63608367,127.01844991,
LG전자베스트샵 노원본점,37.628515,127.071146,
희성프라자,37.63091732,127.06104087,
미아동공영주차장(구),37.6285679,127.02235964,
수유프라자,37.631703,127.02348,
우리은행 미아역지점,37.62777652,127.02513238,
수유일공원공영주차장(구),37.63061186,127.01743071,
이마트월계점,37.62745359,127.06201533,
번동 햇살 주차장(구),37.62509512,127.03343189,
냉천길 공영주차장(구),37.62400561,127.01953853,
롯데마트 삼양점,37.62561503,127.01770989,
구세군길 공영주차장(무인)(구),37.62617605,127.01344244,
꿈의숲요양병원,37.620514,127.044938,
오패산공영주차장(구),37.6221541,127.03114725,
대지시장길 공영주차장(구),37.62016376,127.02031635,
삼양마을공원지하공영주차장(구),37.62274538,127.01842794,
홈플러스 신내점,37.615743,127.093825,
석계역 공영주차장(시),37.615292,127.062997,
LG전자베스트샵 강북본점,37.618662,127.028891,
도봉로 15길 공영주차장(시),37.61695866,127.0279473,
송천동공영주차장(구),37.61458475,127.0251644,
서울의료원 주차장,37.612879,127.099193,
송중동 공영주차장(구),37.61165492,127.03363616,
롯데백화점[미아점] 지하주차장,37.61417653,127.03055539,
신세계 이마트미아점,37.61086046,127.02974197,
베누스타 주차장,37.60933538,127.02949836,
성북힐스테이트 주차장,37.606535,127.030397,
성북힐스테이트아파트,37.606548,127.029027,
현대백화점 미아점 주차장,37.60838767,127.02877104,
JR메디컬센터타워 주차장,37.60736694,127.01009949,
대명프라자,37.601777,127.096903,
홈플러스 월곡점,37.601636,127.040355,
러스크서울병원[망우동 4호점],37.600071,127.104311,
다이소 망우2호점,37.599122,127.098381,
이마트 상봉점,37.59643854,127.09351851,
휘경메디컬프라자,37.59178,127.066602,
공유) 성북구 도담도담 주차장(구),37.594584,126.993775,
JS빌딩 주차장,37.59098817,127.06438783,
돈암동일하이빌 주차장,37.59164441,127.01442238,
녹색병원 주차장,37.583909,127.086374,
제이앤지산 주차장,37.58151728,127.07070593,
롯데백화점 청량리점 주차장,37.581328,127.049055,
두산베어스타워,37.578574,127.03242,
장안2동 공영주차장(시),37.5782752,127.07061896,
LG전자베스트샵 용두점,37.575415,127.0386,
홈플러스 동대문점,37.574439,127.038774,
동대문베네스트어반라이프,37.577858,127.033597,
동의보감타워,37.577816,127.037717,
홍익대학교 대학로캠퍼스,37.576526,127.001474,
중곡3동공영주차장(구),37.56993873,127.08469308,
장안1동 공영주차장(시),37.56941,127.066994,
공유) 04-16(구),37.57011,127.0433933,
공유) 04-17(구),37.56939,127.04483,
마장축산물시장 서문(건물) 공영주차장(구),37.5704876,127.03832741,
마장축산물시장(건물) 공영주차장(구),37.571538,127.039926,
공유) 04-01(구),37.5696,127.03263,
공유) 04-02(구),37.5698166,127.03303992,
청계8가(남) 공영주차장(시),37.56970941,127.03216792,
공유) 04-04(구),37.571058144,127.03481018,
공유) 04-03(구),37.571558107,127.03643021,
공유) 04-23(구),37.56944669,127.0360172,
마장동(건물) 공영주차장(구),37.56993875,127.03514519,
청계8가(북) 공영주차장(시),37.57063582,127.02824815,
신설동 공영주차장(시),37.57252061,127.02425684,
청계7가 공영주차장(시),37.57217485,127.02225792,
청계8가 공영주차장(시),37.57002852,127.01735719,
청계6(동평화) 공영주차장(시),37.56958258,127.01316308,
청계6(북) 공영주차장(시),37.56998946,127.0136987,
청계6(청평화) 공영주차장(시),37.56960075,127.01521402,
남평화시장(구),37.569043,127.011648,
청계6(신평화시장앞) 공영주차장(시),37.569577,127.011183,
서울디자인재단 본관 주차장,37.57288249,127.00816125,
청계5(남) 공영주차장(시),37.56951246,127.00750172,
청계5(북1) 공영주차장(시),37.56988704,127.00756704,
청계5가 공영주차장(시),37.56953489,127.00795168,
청계5(방산동) 공영주차장(시),37.56948283,127.00601836,
우리은행ATM 종로5가지점,37.570031,127.001665,
청계3(북1) 공영주차장(시),37.56967214,127.00112596,
청계5(동호로_북) 공영주차장(시),37.57028463,127.0021223,
청계3(남) 공영주차장(시),37.56934864,127.00128399,
동순라길(종묘) 관광버스전용 주차장(시),37.5730121,126.99677676,
하나손해보험빌딩 주차장,37.57278965,126.99718284,
종로플레이스 주차장,37.572882,126.998496,
종묘주차장 공영주차장(시),37.57150398,126.99496888,
청계3(창경궁로_북1) 공영주차장(시),37.57045874,126.99733225,
탑골공원 관광버스전용 주차장(시),37.57134087,126.98776281,
강일타워,37.565628,127.173818,
강일동 주차장(구),37.565988,127.172313,
알에프텍사옥,37.566055,127.160332,
일화고덕비즈밸리,37.5664681574946,127.16002106666565,
실로암사우나 중곡점 주차장,37.56907837,127.08555024,
서희스타힐스아파트,37.569014,127.070344,
한강훼미리아파트,37.568597,127.06818,
평화빌딩 주차장,37.56559316,127.05576,
공유) 04-15(구),37.56834,127.04386,
공유) 04-18(구),37.56822,127.044732,
공유) 04-19(구),37.56624917,127.04420328,
공유) 04-50(구),37.567822435,127.04568922,
공유) 04-55(구),37.566835292,127.04574031,
공유) 05-09(구),37.565129533,127.0473239,
공유) 20-21(구),37.569093775,127.04777598,
공유) 04-12(구),37.568881178,127.03903734,
공유) 04-14(구),37.566653123,127.04275488,
공유) 04-49(구),37.565071333,127.0398581,
공유) 03-01(구),37.56804,127.03252,
공유) 03-06(구),37.5653,127.03475445,
공유) 03-07(구),37.56506,127.03313,
공유) 03-15(구),37.56684871,127.03400015,
공유) 04-24(구),37.56737,127.03411,
공유) 06-22(구),37.565415888,127.03742434,
공유) 03-10(구),37.56773,127.03111,
