주차장코드,주차장명,주소,주차장 종류,주차장 종류명,운영구분,운영구분명,전화번호,주차현황 정보 제공여부,주차현황 정보 제공여부명,총 주자면,유무료구분,유무료구분명,야간무료개방여부,야간무료개방여부명,평일 운영 시작시각(HHMM),평일 운영 종료시각(HHMM),주말 운영 시작시각(HHMM),주말 운영 종료시각(HHMM),공휴일 운영 시작시각(HHMM),공휴일 운영 종료시각(HHMM),최종데이터 동기화 시간,"토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명",월 정기권 금액,노상 주차장 관리그룹번호,기본 주차 요금,기본 주차 시간(분 단위),추가 단위 요금,추가 단위 시간(분 단위),버스 기본 주차 요금,버스 기본 주차 시간(분 단위),버스 추가 단위 시간(분 단위),버스 추가 단위 요금,일 최대 요금,위도,경도
1277145,잠실역 공영주차장(시),송파구 신천동 27-0,NW,노외 주차장,1,시간제 주차장,02-2290-6402,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),357,Y,유료,N,야간 미개방,500,100,500,100,500,100,2024-08-09 10:42:09,N,무료,N,무료,250000,,400,5,400,5,0,0,0,0,28800,37.51427683,127.10341414
1366593,구로디지털단지역(상) 공영주차장(시),관악구 신림동 1677-5,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),31,Y,유료,N,야간 미개방,800,2100,800,2100,800,2100,2023-12-29 10:22:10,N,무료,N,무료,140000,,260,5,260,5,0,0,0,0,18700,37.48481135,126.90323392
172979,개화산역 공영주차장(시),강서구 방화동 845-0,NW,노외 주차장,1,시간제 주차장,02-2290-6064,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),321,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-08-26 17:02:50,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.57224302,126.80518976
173553,수서역북 공영주차장(시),강남구 수서동 735-0,NW,노외 주차장,1,시간제 주차장,02-3405-4076,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),575,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-02-07 11:53:13,N,무료,N,무료,168000,,320,5,320,5,0,0,0,0,23000,37.48801285,127.09994995
1374090,수서역남 공영주차장(시),강남구 수서동 727-0,NW,노외 주차장,1,시간제 주차장,02-3405-4076,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),69,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 10:01:22,N,무료,N,무료,168000,,320,5,320,5,0,0,0,0,23000,37.48686539,127.10126237
173752,복정역 공영주차장(시),송파구 장지동 600-2,NW,노외 주차장,1,시간제 주차장,02-3405-4075,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),362,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 09:59:30,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.47005293,127.1277329
172051,한강진역 공영주차장(시),용산구 한남동 728-27,NW,노외 주차장,1,시간제 주차장,02-795-6406,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),174,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2024-06-21 11:29:20,N,무료,N,무료,168000,,400,5,400,5,0,0,0,0,28800,37.53952176,127.00257963
1386536,서울글로벌센터 공영주차장(시),종로구 서린동 63-0,NW,노외 주차장,1,시간제 주차장,02-720-9862,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),44,Y,유료,N,야간 미개방,900,1800,0,0,0,0,2023-12-29 10:00:25,Y,유료,Y,유료,280000,,700,5,700,5,0,0,0,0,50400,37.56983402,126.98150586
1051043,구파발역 공영주차장(시),은평구 진관동 66-30,NW,노외 주차장,1,시간제 주차장,02-2290-6088,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),399,Y,유료,N,야간 미개방,0,2400,0,2400,0,2400,2023-12-29 09:55:41,N,무료,N,무료,91000,,170,5,170,5,0,0,0,0,12200,37.63800702,126.91932176
1247636,신설동 공영주차장(시),동대문구 신설동 114-29,NW,노외 주차장,1,시간제 주차장,02-2232-6096,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),71,Y,유료,N,야간 미개방,900,1900,900,1900,900,1900,2023-12-29 10:03:54,N,무료,N,무료,,,260,5,260,5,0,0,0,0,18700,37.57252061,127.02425684
1277144,영등포구청역 공영주차장(시),영등포구 당산동3가 370-3,NW,노외 주차장,1,시간제 주차장,02-2290-6089,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),137,Y,유료,N,야간 미개방,500,100,500,100,500,100,2024-08-09 10:39:01,N,무료,N,무료,112000,,260,5,260,5,0,0,0,0,18700,37.52432737,126.89548892
